客群,选题分类,选题标题,核心钩子（开场3秒话术）,内容要点,适合平台,转化目标
宝妈,克服社恐,我曾经一开口就脸红30天我做了这3件事,"我曾经买杯奶茶都不敢开口，30天改变了我","暴露疗法日常版；表达日记法；小圈子练习；前后对比",抖音/小红书,加微信咨询
宝妈,亲戚应对,在亲戚面前总被怼这样回怼又得体又解气,"过年被七大姑八大姨追问？这3句话堵她们嘴还不撕破脸","幽默化解；反问引导；话题转移；具体场景演示",抖音/小红书,加微信咨询
宝妈,婆媳关系,婆婆爱挑事高情商儿媳都这样说话,"婆婆又来挑事？记住这3个回应公式不吵架还能赢","情绪先接住；事实再澄清；行动转移；真实案例",小红书/视频号,加微信咨询
宝妈,夫妻沟通,跟老公吵架时记住这一句话省一半气,"和老公吵架越吵越凶？这一句话立刻降温","非暴力沟通4步法；先表达感受再陈述事实；现场对话",抖音/小红书,试听课
宝妈,亲子表达,孩子在外面调皮怎么管教不丢自己面子,"孩子在外面闹腾？高情商妈妈这样处理两全其美","蹲下平视；私密沟通；事后复盘；3个公共场景示范",小红书/视频号,试听课
宝妈,社交破冰,闺蜜聚会插不上话这3个万能话题,"闺蜜聚会只能尬笑？这3个话题立刻成为焦点","八卦延伸；自嘲共鸣；好物种草；现场对话演示",小红书/抖音,加微信咨询
宝妈,见家长,第一次见公婆开场白这样说稳赢,"第一次见公婆紧张到失眠？这套开场白让长辈秒喜欢","称呼+小礼物+真诚夸赞+共同话题；3种家庭场景",小红书/抖音,加微信咨询
宝妈,边界表达,怎么自然地拒绝别人不得罪人也不委屈自己,"老好人累不累？学会这3种拒绝法立刻轻松","承认+理由+替代方案；3个场景演示（同事/亲戚/朋友）",小红书/知乎,加微信咨询
宝妈,蜕变故事,从社恐到主持邻居婚礼我做对了什么,"3年前我连点餐都不敢开口，现在我主持了200场活动","起点；3个关键节点；具体训练方法；心态转变",抖音/视频号/小红书,试听课
宝妈,社交破冰,跟陌生人聊天5分钟就尬住学会这个万能套路,"和陌生人聊天5分钟必尬？这个万能套路屡试不爽","FORD话题法（家庭/职业/休闲/梦想）；实战演示",小红书/抖音,试听课
宝妈,亲子教育,教孩子说话表达这个游戏比报班还有用,"孩子内向不爱说话？这个亲子游戏每天10分钟见效","角色扮演法；故事接龙法；情景模拟法；案例展示",小红书/视频号,试听课
宝妈,夫妻沟通,老公冷暴力3句话让他主动开口,"老公冷战不理你？这3句话破冰还不掉价","表达感受不指责；给台阶；提小请求；真实对话",抖音/小红书,加微信咨询
宝妈,职场社交,跟客户同事告别说什么给人印象最深,"和别人告别只会说再见？这5种告别话术让人记住你","总结型；展望型；幽默型；关切型；专业型；现场示范",小红书/抖音,试听课
宝妈,自我提升,30加女性想改善表达先从这件小事开始,"30+想改变表达从哪开始？不是报班是这件小事","每天朗读10分钟；录音复盘；积累金句；具体方法",小红书/公众号,公众号关注
宝妈,认知重构,你以为内向就不能演讲最厉害的演讲者都内向,"内向不是缺点而是表达的超能力，这3个证据","内向者的优势：深度思考/共情/准备充分；案例；训练方法",小红书/知乎,公众号关注
主播销售,直播开场,直播间留人的开场前30秒必说这4句话,"直播间留不住人？前30秒必说这4句话流量翻3倍","欢迎语+福利预告+互动钩子+CTA；爆款主播话术拆解",抖音/视频号,加微信咨询
主播销售,销售话术,客户说我考虑一下顶级销售这样接,"客户一句我考虑一下让多少销售单子飞了？标准答案是这种","识别真异议；用问题引导；给紧迫感；3个场景对话",抖音/小红书,试听课
主播销售,路演表达,路演5分钟怎么让投资人记住你,"路演5分钟决定融资成败，这个开头让VC秒记住你","痛点+反差+愿景的开场结构；3个成功案例拆解",知乎/公众号,加微信咨询
主播销售,价格异议,卖货时怎么说贵才不显low,"客户嫌贵别说一分钱一分货，换成这3句话立刻不一样","价值重构；对比转换；体验唤起；现场话术演示",抖音/小红书,加微信咨询
主播销售,镜头表达,镜头前不自然这3个细节立刻有专业感,"镜头前像木头？这3个细节练1周就有专业感","眼神聚焦点；微表情管理；手势配合；前后对比",抖音/视频号,试听课
主播销售,直播话术,直播带货的3秒钩子公式,"直播间3秒留人公式：痛点+反差+悬念，背下立刻用","公式拆解；20条爆款钩子样本；按行业改写演示",小红书/抖音,试听课
主播销售,直播运营,第一次直播没人看检查这5件事,"第一次直播0观众？大概率是这5件事没做对","流量入口；标题钩子；封面设计；话术节奏；CTA",小红书/公众号,加微信咨询
主播销售,销售开场,销售开场白别再说了解一下换成这5句,"销售一开口说了解一下就被拉黑？换成这5句话开单率翻倍","痛点切入；价值前置；好奇心驱动；3个行业案例",抖音/小红书,加微信咨询
主播销售,路演技巧,路演PPT只放这3页融资成功率翻倍,"投资人最讨厌的BP都长这样？只放这3页就够了","团队页；模型页；数据页；真实投资人视角",知乎/公众号,加微信咨询
主播销售,创业表达,创业者BP讲5分钟逻辑必须是这个顺序,"创业者讲BP翻车？因为没按这个5分钟黄金顺序","问题-方案-市场-壁垒-融资；模板可下载",知乎/公众号,公众号关注
主播销售,直播促单,直播间逼单话术怎么说不让人反感,"直播间逼单生硬？这3种话术既不low又有效","稀缺型；从众型；价值锚定型；脚本可复用",抖音/视频号,加微信咨询
主播销售,镜头表达,镜头表达力差的人先练这一个动作,"镜头前僵硬？先练这1个动作所有问题都解决","定点表达+手势节拍器；练习方法；30天计划",抖音/小红书,试听课
主播销售,异议处理,客户拒绝后怎么软回复还能留机会,"客户说不要了怎么办？这个软回复让他主动回头","共情+留种子+轻邀请的3段结构；3个场景演示",小红书/知乎,加微信咨询
主播销售,账号运营,抖音口播账号涨粉慢大概率是你的信息密度太低,"你的口播账号没流量？因为你1分钟只说了3个信息点","信息密度公式；爆款口播拆解；改写演示",抖音/小红书,公众号关注
主播销售,销售话术,销冠都在用的FABE话术3分钟学会,"销冠不告诉你的FABE话术，3分钟学会立刻能用","属性-优势-利益-证据；3个行业演示",小红书/抖音,试听课
主播销售,直播应急,直播间冷场时主播救场的5个万能话题,"直播间突然冷场？这5个万能话题随时救场","互动提问；福利预告；产品故事；用户案例；行业八卦",抖音/视频号,试听课
主播销售,创业表达,创业者讲商业模式怎么讲得连小学生都懂,"投资人说听不懂你的商业模式？用这个公式说人话","用谁付钱给谁的简化句型；3个独角兽案例拆解",知乎/公众号,加微信咨询
主播销售,招商演讲,招商会上做演讲怎么让客户当场签约,"招商会演讲只讲产品？难怪签约率低！这才是高转化结构","痛点-愿景-方案-案例-政策的5段结构；真实案例",知乎/公众号,加微信咨询
主播销售,故事营销,用故事卖货比直接推销转化率高3倍怎么编故事,"硬推销转化率5%，故事化卖货能到15%，故事公式是这个","SCQA故事模型；3个行业改编演示；练习方法",抖音/小红书,试听课
主播销售,直播互动,直播间互动率低教你提问5秒法,"直播间没人评论？因为你的提问方式不对，改成5秒法","封闭式提问+5秒倒计时+引导扣字；现场话术",抖音/视频号,加微信咨询
